Reviewer,Citation abbrv,Scientific Name,Common Name,Method Binary,Method,Country,Site,Latitude,Longitude,Pp. - details,Type 0 (pp),Type 0 (tp),Type I,Type II,Type III,Type IV,Cause 1,Cause 2,Cause 3,Cause 4
KB,Mahoney and Schaefer 2002,Rangifer tarandus,caribou,Yes,Empirical (including modelling w/ data),Canada,Newfoundland,53.681478,-61.226441,numeric,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Pop: population density,,,
LT,Schaefer and Mahoney 2013,Rangifer tarandus,caribou,Yes,Observation (Collar),Canada,Newfoundland,53.681478,-61.226441,numeric,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Pop: population density,,,
CA,Edmonds 1988,Rangifer tarandus,caribou,Yes,Observation (Collar),Canada,"Willmore Wilderness Park, Alberta",53.717769,-119.401148,numeric,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,non-human predator,human Predator: fatal,,
CA,Newton et al. 2015,Rangifer tarandus,caribou,Yes,Empirical (including modelling w/ data),Canada,"Pen Islands, Southern Hudson Bay",56.740176,-88.696613,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,human Predator: non-fatal,,,
AVS,Schemelzer and Otto 2003,Rangifer tarandus,caribou,Yes,Empirical (including modelling w/ data),Canada,Québec–Labrador peninsula,58.658505,-69.076883,NA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Pop: population density,,,
AVS,Taillon et al 2012,Rangifer tarandus,caribou,Yes,Observation (Collar),Canada,Québec–Labrador peninsula,58.658505,-69.076883,demographic,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,Pop: population density,,,
CA,Le Corre et al. 2017,Rangifer tarandus,caribou,Yes,Empirical (including modelling w/ data),Canada,Québec–Labrador peninsula,58.658505,-69.076883,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Climate/Weather: Interannual env variations,Climate/Weather: Climate change,,
JAS,Sharma et al. 2009,Rangifer tarandus,caribou,Yes,Empirical (including modelling w/ data),Canada,Québec–Labrador peninsula,58.658505,-69.076883,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Climate/Weather: Climate change,,,
ORB,Leblond et al 2016,Rangifer tarandus,caribou,Yes,Empirical (including modelling w/ data),Canada,Northern Québec,61.919293,-73.986338,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Climate/Weather: Climate change,,,
CA,Ferguson and Messier 2000,Rangifer tarandus,caribou,Yes,Observation (Collar),Canada,Southern Baffin Island,62.705433,-69.506205,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Pop: population density,,,
AS,Frame et al. 2008,Rangifer tarandus,caribou,No,Opinion/Anecdotal,Canada,"Lac de Gras, Northwest Territories",64.557159,-110.674794,NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Hab Loss: Development,,,
ORB,"Dumond et al., 2013",Rangifer tarandus,caribou,Yes,Observation (Survey),Canada,"Cambridge Bay, Victoria Island",69.128295,-105.171549,numeric,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Hab fragmentation,Climate/Weather: Climate change,,
AVS,Poole et al 2010,Rangifer tarandus,caribou,Yes,Observation (Survey),Canada,"Cambridge Bay, Victoria Island",69.128295,-105.171549,NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Climate/Weather: Climate change,,,
AVS,Poole et al 2015,Rangifer tarandus,caribou,Yes,Observation (Survey),Canada,Bathurst Island,75.746172,-99.184233,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Pop: population density,,,
AVS,Poole et al 2015,Rangifer tarandus,caribou,Yes,Observation (Survey),Canada,Bathurst Island,75.784887,-99.264607,NA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Climate/Weather: extreme whether event,,,
LT,Moraga et al. 2015,Lama guanicoe,guanaco,Yes,Empirical (including modelling w/ data),Chile,southern Tierra del Fuego Island,-54.8829,-68.626107,res-mig ratio,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Hab Loss: livestock,Pop: population density,,
JAS,Flueck and Smith-Flueck 2011,Hippocamelus bisulcus,huemul,No,Review,"Chile, Argentina",Patagonia,-41.943968,-72.10829,numeric,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,human Predator: fatal,Hab Loss: Ag expansion,,
WX,Xu et al 2019,Pantholops hodgsonii,Tibetan antelope,Yes,Empirical (including modelling w/ data),China,Qinghai,37.564937,94.597424,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Hab fragmentation,,,
WX,Cui et al 2017,Saiga tatarica,Saiga antelope,No,Review,China,Jeminay,47.5002,85.6205,numeric,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,human Predator: fatal,,,
AVS,Grubešić and Ugarković 2015,Cervus elaphus,red deer,Yes,Empirical (including modelling w/ data),Croatia,northwest Dinarid mountains,45.45572314,14.67327881,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Climate/Weather: Climate change,,,
KB,Cagnacci et al. 2011,Capreolus capreolus,roe deer,Yes,Empirical (including modelling w/ data),"Germany, France, Italy, Norway, Sweden",,51.0834196,10.4234469,res-mig ratio,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Climate/Weather: Interannual env variations,,,
AS,Gurarie et al. 2017,Capreolus capreolus,roe deer,Yes,Observation (Collar),Italy,Italian Alps,46.092798,10.086239,res-mig ratio,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Climate/Weather: Interannual env variations,,,
AVS,Luccarini et al. 2006,Cervus elaphus,red deer,Yes,Empirical (including modelling w/ data),Italy,Italian Alps,46.092798,10.086239,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Climate/Weather: Interannual env variations,,,
AS,Igota et al. 2004,Cervus nippon yesoensis,sika deer,Yes,Observation (Collar),Japan,eastern Hokkaido,43.115747,143.958384,res-mig ratio,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Climate/Weather: Interannual env variations,,,
KB,Bekenov et al. 1998,Saiga tatarica,Saiga antelope,No,Review,Kazakhstan,Ustiurt,44,55.9,demographic,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,human Predator: fatal,,,
HK,Baskin et al. 2003,Gazella subgutturosa,goittred gazelle,No,Review,Kazakhstan,Kyzylkum Desert,44.538702,61.40792,numeric,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,human Predator: fatal,,,
WX,Singh et al. 2011,Saiga tatarica,Saiga antelope,Yes,Empirical (including empirical modelling),Kazakhstan,Betpak-dala,46.03333,70.2,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Hab Loss: Development,,,
KB,Bekenov et al. 1998,Saiga tatarica,Saiga antelope,No,Review,Kazakhstan,Betpak-dala,46.03333,70.2,NA,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Climate/Weather: Interannual env variations,,,
KB,Bekenov et al. 1998,Saiga tatarica,Saiga antelope,No,Review,Kazakhstan,Ural,51.2224,51.3734,res-mig ratio,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Hab Loss: Ag expansion,Hab fragmentation,,
HK,Baskin et al. 2003,Saiga tatarica,Saiga antelope,No,Opinion/Anecdotal,Kazakhstan,"Ural, Ustiurt, Tural, Kalmykia",51.2224,51.3734,numeric,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Hab fragmentation,,,
HK,Said et al 2016,Aepyceros melampus,impala,Yes,Observation (Survey),Kenya,Kajiado County,-2.208119,36.893331,numeric,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Hab Loss: Development,Hab fragmentation,,
HK,Said et al 2016,Connochaetes taurinus,blue wildebeest,Yes,Observation (Survey),Kenya,Kajiado County,-2.208119,36.893331,numeric,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Hab Loss: Development,Hab fragmentation,,
HK,Said et al 2016,Equus burchelli,Plains zebra,Yes,Observation (Survey),Kenya,Kajiado County,-2.208119,36.893331,numeric,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Hab Loss: Development,Hab fragmentation,,
HK,Said et al 2016,Eudorcas thomsonii,Thomson's gazelle,Yes,Observation (Survey),Kenya,Kajiado County,-2.208119,36.893331,numeric,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Hab Loss: Development,Hab fragmentation,,
JAS,Imbahale et al 2008,Connechaetes taurinus,blue wildebeest,Yes,Observation (Survey),Kenya,Kajiado County,-2.208119,36.893331,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Hab Loss: livestock,Hab fragmentation,,
AS,Ogutu et al. 2013,Connochaetes taurinus,blue wildebeest,Yes,Observation (Survey),Kenya,Kajiado County,-2.208119,36.893331,numeric,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Hab Loss: Development,human Predator: fatal,Climate/Weather: Climate change,
JAS,Serneels and Lambin 2001,Connochaetes taurinus,blue wildebeest,Yes,Observation (Survey),Kenya,Narok County,-1.314603,35.483639,numeric,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Hab Loss: Ag expansion,Climate/Weather: Climate change,,
WX,Mwangi 1998,Alcelaphus buselaphus,hartebeest,Yes,Observation/Survey,Kenya,Lake Nakuru National Park,-0.389273,36.043149,numeric,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Hab Loss: Ag expansion,Hab fragmentation,,
WX,Mwangi 1998,Giraffa camelopardalis,giraffe,Yes,Observation/Survey,Kenya,Lake Nakuru National Park,-0.389273,36.043149,numeric,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Hab Loss: Ag expansion,Hab fragmentation,,
AVS,Wang et al 1997,Procapra gutturosa,Mongolian Gazelle,Yes,Observation (Survey),Mongolia,inner Mongolia,43.02862412,109.0350395,numeric,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,human Predator: fatal,,,
KB,Jiang et al. 1998,Procapra gutturosa,Mongolian Gazelle,No,Review,Mongolia,inner Mongolia,43.02862412,109.0350395,numeric,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Hab fragmentation,Climate/Weather: Interannual env variations,,
WX,Ito et al. 2013 (b),Equus hemionus,Asiatic wild ass,Yes,Empirical (including empirical modelling),Mongolia,near the Ulaanbaatar–Beijing Railroad and the fenced international border between Mongolia and China,43.65113,111.9704215,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Hab fragmentation,,,
WX,Ito et al. 2013 (b),Procapra gutturosa,Mongolian Gazelle,Yes,Empirical (including empirical modelling),Mongolia,near the Ulaanbaatar–Beijing Railroad and the fenced international border between Mongolia and China,43.65113,111.9704215,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Hab fragmentation,,,
AVS,Lhagvasuren and Milner-Gulland 1997,Procapra gutturosa,Mongolian Gazelle,No,Review,Mongolia,eastern Mongolia,46.58140458,111.6717583,numeric,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,human Predator: fatal,Hab Loss: Development,,
CA,Ito et al. 2005,Procapra guttorosa,Mongolian Gazelle,No,Opinion/Anecdotal,Mongolia,eastern Mongolia,46.58140458,111.6717583,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Hab fragmentation,,,
WX,Olson et al 2009,Procapra gutturosa,Mongolian Gazelle,Yes,Observation/Survey,Mongolia,eastern Mongolia,46.58140458,111.6717583,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Climate/Weather: extreme whether event,,,
HK,Baskin et al. 2003,Rangifer tarandus,caribou,No,Opinion/Anecdotal,multiple countries are referenced,multiple migration paths are referenced,,,numeric,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,human Predator: non-fatal,,,
WX,Berry 1997,Connochaetes taurinus,blue wildebeest,Yes,Observation/Survey,Namibia,Etosha National Park,-19.036891,16.364378,numeric,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Hab fragmentation,Mngt: landscape management,,
ORB,Joubert 1972,Equus zebra,mountain zebra,Yes,Observation (Survey),Namibia,Etosha National Park,-19.036891,16.364378,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Hab fragmentation,,,
ORB,Joubert 1972,Equus zebra,mountain zebra,Yes,Observation (Survey),Namibia,Daan Viljoen Game Reserve,-22.532595,16.969924,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Hab fragmentation,,,
ORB,Joubert 1972,Equus zebra,mountain zebra,Yes,Observation (Survey),Namibia,Namib Desert Park,-24.152501,15.179988,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Hab fragmentation,,,
ORB,Joubert 1972,Equus zebra,mountain zebra,Yes,Observation (Survey),Namibia,Naukluft Mountain Zebra Park,-24.21494,16.23817,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Hab fragmentation,,,
LT,Panzacchi et al 2013 (b),Rangifer tarandus,caribou,Yes,Empirical (including modelling w/ data),Norway,Dovre mountain range,62.310335,9.640924,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Hab Loss: Development,human Predator: non-fatal,,
SM,Rivrud et al. 2016,Cervus elaphus,red deer,Yes,Empirical (including modelling w/ data),Norway,Sør-Trøndelag county,63.129613,10.415473,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,human Predator: fatal,,,
SM,Rivrud et al. 2016,Cervus elaphus,red deer,Yes,Empirical (including modelling w/ data),Norway,Buskerud county,60.340913,9.201373,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,human Predator: fatal,,,
SM,Rivrud et al. 2016,Cervus elaphus,red deer,Yes,Empirical (including modelling w/ data),Norway,Hedmark county,61.491613,11.500933,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,human Predator: fatal,,,
SM,Rivrud et al. 2016,Cervus elaphus,red deer,Yes,Empirical (including modelling w/ data),Norway,Rogaland county,58.969906,6.298357,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,human Predator: fatal,,,
SM,Rivrud et al. 2016,Cervus elaphus,red deer,Yes,Empirical (including modelling w/ data),Norway,Hordaland county,60.307991,6.533599,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,human Predator: fatal,,,
SM,Rivrud et al. 2016,Cervus elaphus,red deer,Yes,Empirical (including modelling w/ data),Norway,Sogn & Fjordane county,61.583856,6.047276,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,human Predator: fatal,,,
SM,Rivrud et al. 2016,Cervus elaphus,red deer,Yes,Empirical (including modelling w/ data),Norway,Møre & Romsdal county,62.544796,8.353395,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,human Predator: fatal,,,
ORB,"Panzacchi et al., 2013",Rangifer tarandus,caribou,Yes,Observation (Collar),Norway,Snøhetta,62.544796,8.353395,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Hab fragmentation,Hab Loss: urbanization,,
ORB,"Panzacchi et al., 2013",Rangifer tarandus,caribou,Yes,Observation (Collar),Norway,Rondane North,61.970572,9.782576,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Hab fragmentation,Hab Loss: urbanization,,
ORB,"Panzacchi et al., 2013",Rangifer tarandus,caribou,Yes,Observation (Collar),Norway,Nordfjella,68.475384,15.855306,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Hab fragmentation,Hab Loss: urbanization,,
ORB,"Panzacchi et al., 2013",Rangifer tarandus,caribou,Yes,Observation (Collar),Norway,Hard-angervidda,60.086455,7.377594,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Hab fragmentation,Hab Loss: urbanization,,
ORB,"Panzacchi et al., 2013",Rangifer tarandus,caribou,Yes,Observation (Collar),Norway,Setesdal Austhei,58.948825,7.575915,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Hab fragmentation,Hab Loss: urbanization,,
ORB,"Panzacchi et al., 2013",Rangifer tarandus,caribou,Yes,Observation (Collar),Norway,Setesdal Ryfylke,59.017381,6.23439,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Hab fragmentation,Hab Loss: urbanization,,
AVS,Mysterud et al 2011,Cervus elaphus,red deer,Yes,Observation (Collar),Norway,multiple counties,,,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Climate/Weather: extreme whether event,non-human predator,Climate/Weather: Interannual env variations,Pop: population density
ORB,Nadachowski et al. 2016,Saiga tatarica,Saiga antelope,No,Review,Poland,Zakopane,49.2969,19.9507,numeric,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Climate/Weather: Climate change,,,
AVS,Kolpaschikov et al. 2015,Rangifer tarandus,caribou,No,Review,Russia,Russian Far North,76,105,numeric,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,human Predator: fatal,non-human predator,Pop: population density,Pop: disease dynamic
WX,Islam et al 2010,Gazella subgutturosa,Goittred gazelle,Yes,Observation/Survey,Saudi Arabia,Mahazat as-Sayd Protected Area,22.255698,41.895759,numeric,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Hab fragmentation,Climate/Weather: extreme whether event,,
SM,Smolko et al 2018,Cervus elaphus,red deer,Yes,Observation (Collar),Slovakia,Kremnica Mountains,48.782816,19.051226,numeric,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,non-human predator,Pop: population density,,
