Reviewer,Citation abbrv,Scientific Name,Common Name,Method Binary,Method,Country,Site,Latitude,Longitude,Pp. - details,Type 0 (pp),Type 0 (tp),Type I,Type II,Type III,Type IV,Cause 1,Cause 2,Cause 3,Cause 4
WX,Schaller 1998,Pantholops hodgsonii,Tibetan antelope,Yes,Observation (Survey),Tibet,Tibet,31.8943432,87.0781371,numeric,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,human Predator: fatal,,,
HK,Baskin et al. 2003,Ovis aries,mouflon,No,Not Specified,"Ukraine, Georgia, Armenia, Azerbaijan",entire range of species (areas around eastern portion of Black Sea),44.9422777,39.92034606,res-mig ratio,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Hab fragmentation,,,
ORB,Monteith et al. 2011,Odocoileus hemionus,mule deer,Yes,Empirical (including modelling w/ data),USA,"eastern side of the Sierra Nevada in Round Valley, Inyo and Mono counties, California",37.3935688,-118.6575098,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Climate/Weather: Climate change,,,
KB,Lendrum et al 2013,Odocoileus hemionus,mule deer,Yes,Empirical (including modelling w/ data),USA,"Piceance Basin, Colorado",39.57442233,-108.3470259,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Hab Loss: Development,Hab fragmentation,human Predator: non-fatal,
LT,Lendrum et al 2012,Odocoileus hemionus,mule deer,Yes,Empirical (including modelling w/ data),USA,"Piceance Basin, Colorado",39.57442233,-108.3470259,NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Hab Loss: Development,,,
AVS,Conner et al 2001,Cervus elaphus,elk,Yes,Empirical (including modelling w/ data),USA,"White River area, Colorado",39.9841224,-107.4837775,NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,human Predator: fatal,,,
AVS,Blum et al. 2015,Odocoileus hemionus,mule deer,Yes,Observation (Collar),USA,"Ruby mountains, Nevada",40.55370538,-115.4110667,NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Hab Loss: Development,,,
WX,Loft et al 1984,Odocoileus hemionus,mule deer,Yes,Observation (Collar),USA,"Trinity County, California",40.92455741,-122.7604722,NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Hab Loss: Development,,,
AVS,Peterson and Messmer 2007,Odocoileus hemionus,mule deer,Yes,Empirical (including modelling w/ data),USA,"e Cache-Wasatch Mountains, Utah",41.7971971,-111.693216,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Mngt: supplementary feeding,,,
AVS,Sawyer et al 2006,Odocoileus hemionus,mule deer,Yes,Empirical (including modelling w/ data),USA,"Pinedale Anticline Project Area (PAPA) in the Upper Green River Basin (5km southwest of Pinedale), Wyoming",42.75882034,-109.9146121,NA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Hab Loss: Development,human Predator: non-fatal,,
LT,Sawyer et al. 2002,Antilocapra americana,pronghorn,Yes,Observation (Collar),USA,"Pinedale Anticline Project Area (PAPA) in the Upper Green River Basin (5km southwest of Pinedale), Wyoming",42.75882034,-109.9146121,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Climate/Weather: Interannual env variations,,,
LT,Sawyer et al 2009,Odocoileus hemionus,mule deer,Yes,Observation (Collar),USA,"Pinedale Anticline Project Area (PAPA) in the Upper Green River Basin (5km southwest of Pinedale), Wyoming",42.75882034,-109.9146121,NA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Climate/Weather: Interannual env variations,,,
LT,Sawyer et al. 2002,Odocoileus hemionus,mule deer,Yes,Observation (Collar),USA,"Pinedale Anticline Project Area (PAPA) in the Upper Green River Basin (5km southwest of Pinedale), Wyoming",42.75882034,-109.9146121,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Climate/Weather: Interannual env variations,,,
SM,Sawyer et al. 2017,Odocoileus hemionus,mule deer,Yes,Observation (Collar),USA,"Pinedale Anticline Project Area (PAPA) in the Upper Green River Basin (5km southwest of Pinedale), Wyoming",42.75882034,-109.9146121,numeric,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Hab Loss: Development,,,
ORB,Sawyer et al. 2016,Odocoileus hemionus,mule deer,Yes,Empirical (including modelling w/ data),USA,"upper Green River Basin near Pinedale, WY",42.90860545,-110.022705,NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Hab Loss: Development,,,
ORB,Jones et al. 2014,Cervus elaphus,elk,Yes,Empirical (including modelling w/ data),USA,"the southern Greater Yellowstone Ecosystem (Wind River, Gros Ventre, Wyoming, Salt and Snake River mountain ranges)",43.2149013,-109.9459439,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Mngt: supplementary feeding,,,
SM,Jones et al 2014,Cervus elaphus,elk,Yes,Observation (Collar),USA,"the southern Greater Yellowstone Ecosystem (Wind River, Gros Ventre, Wyoming, Salt and Snake River mountain ranges)",43.2149013,-109.9459439,numeric,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Mngt: supplementary feeding,,,
HK,Courtemanch et al 2016,Ovis canadensis,bighorn sheep,Yes,Observation (Collar),USA,"Teton Mountain Range, Wyoming",43.72729862,-110.8435287,res-mig ratio,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Hab Loss: Development,,,
KB,Hoskinson and Teaster 1980,Antilocapra americana,pronghorn,Yes,Observation (Collar),USA,"Birch Creek Valley, Idaho",44.04340983,-112.861773,NA,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,Climate/Weather: Interannual env variations,,,
JAS,Whittlesey et al. 2018,Antilocapra americana,pronghorn,No,Opinion/Anecdotal,USA,"Greater Yellowstone Ecosystem (not specified beyond GYE, so picked center south of Yellowstone Lake)",44.25532842,-110.26398,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Hab fragmentation,Mngt: supplementary feeding,,
JAS,Keating 2002,Antilocapra americana,pronghorn,No,Review,USA,"Yellowstone National Park(not specified beyond YNP, so picked center south of Yellowstone Lake)",44.25532842,-110.26398,numeric,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,human Predator: fatal,Hab fragmentation,Hab Loss: livestock,Mngt: supplementary feeding
AS,Bruggeman et al. 2008,Bison bison,bison,Yes,Observation (Collar),USA,northern Yellowstone National Park and Montana,44.25532842,-110.26398,res-mig ratio,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Pop: population density,Climate/Weather: Interannual env variations,,
LT,Meagher 1973,Bison bison,bison,Yes,Observation (Survey),USA,"Yellowstone National Park, Wyoming, Montana, Idaho",44.25532842,-110.26398,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Climate/Weather: Interannual env variations,,,
LT,Fryxell and Holt 2013,Cervus elaphus,elk,No,Theoretical,USA,eastern frontier of the Greater Yellowstone Ecosystem,44.6449814,-109.3905894,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Climate/Weather: Climate change,,,
LT,Fryxell and Holt 2013,Cervus elaphus,elk,No,Opinion/Anecdotal,USA,eastern frontier of the Greater Yellowstone Ecosystem,44.6449814,-109.3905894,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Climate/Weather: Climate change,,,
LT,Rudd et al. 1983,Cervus elaphus,elk,Yes,Observation (Collar),USA,eastern frontier of the Greater Yellowstone Ecosystem,44.6449814,-109.3905894,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Climate/Weather: Interannual env variations,human Predator: fatal,,
ORB,"Middleton et al., 2018",Cervus elaphus,elk,Yes,Empirical (including modelling w/ data),USA,eastern frontier of the Greater Yellowstone Ecosystem,44.6449814,-109.3905894,numeric,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Hab Loss: Development,,,
ORB,"Middleton et al., 2013 (Ecology)",Cervus elaphus,elk,Yes,Observation (Collar),USA,eastern frontier of the Greater Yellowstone Ecosystem,44.6449814,-109.3905894,demographic,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Climate/Weather: extreme whether event,non-human predator,,
